0,age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
29456,29,Private,107998,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
18918,40,Private,55395,11,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
21107,33,Private,176185,8,Non-Married,Other,Non-Husband,White,Male,0,2258,42,US,0
34855,77,Non-Private,29702,9,Married,Other,Husband,White,Male,0,0,35,US,1
8793,57,Private,36990,9,Married,Other,Husband,Non-White,Male,0,0,52,US,0
11024,45,Private,264526,12,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
42451,40,Non-Private,223881,15,Married,Managerial-Specialist,Husband,White,Male,0,0,60,US,1
8955,30,Non-Private,250499,10,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,55,US,1
18613,33,Private,163110,9,Married,Other,Husband,White,Male,3781,0,40,US,0
44088,28,Private,53271,9,Non-Married,Other,Non-Husband,White,Male,0,0,38,US,0
2902,43,Private,307767,9,Married,Other,Husband,White,Male,0,0,40,US,0
20761,40,Private,213821,14,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,1
24481,42,Non-Private,185129,15,Married,Managerial-Specialist,Husband,White,Male,0,1887,40,US,1
28436,42,Private,118686,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,20,US,0
14291,40,Private,308027,9,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
43640,54,Non-Private,277777,13,Married,Managerial-Specialist,Non-Husband,White,Female,3103,0,40,US,1
15932,52,Private,266138,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
20258,49,Private,296849,10,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
45269,32,Private,137421,9,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,Non-US,0
26057,39,Non-Private,122353,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
40202,32,Private,152156,9,Non-Married,Other,Non-Husband,White,Male,0,0,53,US,0
20076,43,Private,163455,9,Married,Other,Husband,White,Male,0,0,40,US,1
14461,22,Private,351952,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,20,US,0
7607,55,Private,84231,9,Married,Other,Husband,White,Male,0,0,50,US,0
43378,50,Private,193746,9,Married,Managerial-Specialist,Husband,White,Male,0,0,60,US,0
30659,72,Private,165622,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,25,US,0
1949,40,Private,102606,14,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
33397,26,Private,186463,10,Married,Other,Husband,White,Male,0,0,40,US,0
35387,52,Private,176124,9,Married,Other,Husband,White,Male,0,0,40,US,1
5932,20,Non-Private,325493,9,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,US,0
11146,29,Non-Private,339002,11,Married,Other,Husband,White,Male,0,0,40,US,1
41479,69,Non-Private,165017,15,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
14664,54,Private,221915,10,Non-Married,Other,Non-Husband,White,Female,0,0,50,US,0
67,53,Private,169846,9,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,1
6103,41,Private,116391,10,Married,Other,Husband,White,Male,0,0,40,US,0
37225,37,Private,166193,9,Married,Other,Husband,White,Male,0,0,40,US,0
14520,18,Private,79443,5,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,Non-US,0
31746,39,Private,42044,7,Married,Other,Husband,White,Male,0,0,40,US,0
