0    ,age,two_year_recid,c_charge_degree,race            ,sex   ,priors_count,length_of_stay,score
10967,34 ,1             ,M              ,African-American,Male  ,3           ,2             ,1
4464 ,37 ,0             ,M              ,African-American,Male  ,3           ,1             ,1
9864 ,29 ,1             ,M              ,African-American,Male  ,1           ,0             ,1
4648 ,41 ,0             ,F              ,Other           ,Male  ,1           ,2             ,1
7870 ,55 ,0             ,F              ,Other           ,Male  ,0           ,0             ,1
7931 ,30 ,0             ,M              ,African-American,Male  ,4           ,1             ,1
6137 ,52 ,0             ,F              ,Other           ,Male  ,0           ,1             ,1
4036 ,31 ,0             ,F              ,African-American,Male  ,3           ,0             ,1
3051 ,51 ,0             ,M              ,African-American,Male  ,0           ,1             ,1
5381 ,38 ,0             ,M              ,African-American,Male  ,4           ,0             ,1
847  ,26 ,0             ,F              ,African-American,Male  ,3           ,1             ,1
10843,24 ,0             ,M              ,Other           ,Male  ,0           ,0             ,1
9398 ,23 ,1             ,M              ,African-American,Male  ,3           ,0             ,1
2349 ,45 ,0             ,F              ,African-American,Male  ,3           ,36            ,0
6324 ,23 ,0             ,F              ,Other           ,Male  ,2           ,35            ,1
3074 ,34 ,0             ,F              ,Other           ,Male  ,0           ,116           ,1
4485 ,24 ,1             ,F              ,African-American,Male  ,3           ,0             ,1
8635 ,52 ,0             ,F              ,African-American,Male  ,0           ,1             ,1
7380 ,37 ,1             ,M              ,African-American,Male  ,3           ,0             ,1
1419 ,33 ,0             ,M              ,Other           ,Female,1           ,0             ,1
5060 ,24 ,1             ,F              ,African-American,Male  ,1           ,75            ,1
3420 ,42 ,0             ,F              ,African-American,Male  ,1           ,0             ,1
5763 ,30 ,0             ,F              ,Other           ,Male  ,0           ,0             ,1
232  ,26 ,0             ,M              ,Other           ,Female,0           ,0             ,1
1058 ,28 ,0             ,M              ,African-American,Male  ,2           ,6             ,1
8312 ,30 ,0             ,F              ,African-American,Male  ,0           ,0             ,1
10356,28 ,1             ,F              ,Other           ,Male  ,3           ,165           ,0
9603 ,34 ,1             ,F              ,African-American,Female,5           ,9             ,1
3950 ,38 ,1             ,F              ,Other           ,Male  ,3           ,1             ,0
1797 ,27 ,1             ,F              ,African-American,Female,3           ,3             ,0
8948 ,26 ,0             ,M              ,Other           ,Male  ,0           ,1             ,1
565  ,40 ,1             ,F              ,Other           ,Male  ,0           ,8             ,1
1031 ,34 ,1             ,F              ,Other           ,Female,15          ,3             ,0
1755 ,24 ,0             ,F              ,African-American,Female,0           ,0             ,1
8967 ,64 ,0             ,M              ,Other           ,Male  ,1           ,0             ,1
913  ,31 ,1             ,M              ,African-American,Male  ,3           ,19            ,0
9323 ,23 ,1             ,M              ,Other           ,Male  ,4           ,2             ,0
1853 ,38 ,0             ,F              ,Other           ,Male  ,0           ,158           ,1
5779 ,36 ,1             ,M              ,African-American,Female,4           ,1             ,1
4250 ,27 ,0             ,F              ,African-American,Female,0           ,0             ,1
812  ,31 ,0             ,F              ,African-American,Male  ,0           ,0             ,1
4245 ,37 ,0             ,M              ,African-American,Male  ,0           ,2             ,1
3840 ,28 ,0             ,F              ,African-American,Male  ,5           ,136           ,0
958  ,31 ,0             ,M              ,Other           ,Male  ,0           ,0             ,1
10733,28 ,1             ,F              ,African-American,Male  ,2           ,1             ,1
2554 ,49 ,0             ,F              ,Other           ,Female,8           ,8             ,1
4950 ,24 ,0             ,F              ,African-American,Male  ,0           ,0             ,1
5717 ,33 ,1             ,M              ,African-American,Male  ,1           ,1             ,1
10718,22 ,0             ,F              ,Other           ,Male  ,0           ,1             ,1
8877 ,56 ,0             ,F              ,Other           ,Female,3           ,0             ,1
5613 ,53 ,1             ,M              ,Other           ,Male  ,0           ,3             ,1
9991 ,20 ,0             ,M              ,Other           ,Male  ,0           ,3             ,1
3867 ,69 ,0             ,M              ,African-American,Male  ,22          ,1             ,1
1684 ,24 ,0             ,F              ,Other           ,Female,2           ,2             ,1
2874 ,33 ,1             ,M              ,African-American,Male  ,2           ,-1            ,1
6896 ,31 ,1             ,F              ,Other           ,Male  ,0           ,-1            ,0
6574 ,31 ,1             ,F              ,African-American,Female,2           ,0             ,1
1611 ,47 ,0             ,F              ,African-American,Male  ,4           ,0             ,1
9604 ,18 ,1             ,F              ,African-American,Male  ,4           ,23            ,1
6908 ,30 ,1             ,F              ,African-American,Male  ,21          ,0             ,1
4358 ,64 ,0             ,F              ,Other           ,Female,0           ,0             ,1
4761 ,30 ,1             ,M              ,Other           ,Male  ,2           ,5             ,1
4168 ,50 ,0             ,F              ,Other           ,Male  ,10          ,0             ,1
10786,49 ,0             ,M              ,Other           ,Female,2           ,82            ,1
1107 ,22 ,1             ,F              ,Other           ,Male  ,1           ,1             ,1
1727 ,52 ,0             ,F              ,African-American,Female,1           ,0             ,1
10922,51 ,0             ,M              ,Other           ,Male  ,4           ,0             ,1
5179 ,36 ,1             ,F              ,African-American,Male  ,26          ,0             ,0
4335 ,37 ,0             ,F              ,African-American,Male  ,0           ,0             ,0
1630 ,49 ,0             ,F              ,Other           ,Female,4           ,3             ,1
4038 ,45 ,1             ,F              ,Other           ,Male  ,19          ,1             ,1
1624 ,22 ,1             ,F              ,African-American,Male  ,5           ,19            ,0
900  ,21 ,0             ,F              ,Other           ,Female,0           ,2             ,1
7109 ,55 ,0             ,F              ,Other           ,Male  ,0           ,0             ,1
6979 ,28 ,0             ,M              ,Other           ,Male  ,1           ,1             ,1
5650 ,28 ,0             ,F              ,African-American,Male  ,5           ,0             ,1
3114 ,41 ,1             ,F              ,Other           ,Male  ,2           ,161           ,0
3237 ,41 ,0             ,M              ,Other           ,Male  ,0           ,-1            ,1
6241 ,33 ,0             ,M              ,Other           ,Male  ,2           ,21            ,1
8082 ,59 ,1             ,F              ,African-American,Male  ,8           ,8             ,0
3457 ,48 ,0             ,F              ,African-American,Male  ,1           ,0             ,1
8280 ,35 ,0             ,M              ,African-American,Male  ,8           ,8             ,1
3138 ,33 ,1             ,F              ,African-American,Male  ,11          ,44            ,1
5583 ,37 ,1             ,M              ,African-American,Male  ,11          ,0             ,1
2361 ,49 ,1             ,M              ,Other           ,Female,2           ,11            ,1
3696 ,21 ,0             ,F              ,African-American,Male  ,1           ,1             ,0
2179 ,54 ,0             ,M              ,African-American,Male  ,9           ,1             ,1
7511 ,20 ,1             ,F              ,African-American,Male  ,0           ,1             ,1
3312 ,61 ,0             ,M              ,Other           ,Male  ,1           ,0             ,1
3725 ,23 ,1             ,F              ,African-American,Male  ,4           ,0             ,0
10336,29 ,1             ,M              ,African-American,Male  ,3           ,60            ,0
4495 ,22 ,0             ,F              ,African-American,Male  ,1           ,1             ,1
9880 ,46 ,0             ,M              ,Other           ,Female,0           ,-1            ,1
6078 ,28 ,0             ,F              ,Other           ,Female,0           ,0             ,1
7226 ,43 ,1             ,F              ,Other           ,Male  ,6           ,9             ,1
10540,31 ,1             ,M              ,Other           ,Female,1           ,1             ,1
5366 ,52 ,1             ,F              ,Other           ,Male  ,16          ,11            ,0
7301 ,36 ,1             ,F              ,African-American,Male  ,2           ,2             ,1
4483 ,32 ,1             ,F              ,African-American,Male  ,6           ,4             ,1
8688 ,29 ,0             ,F              ,Other           ,Female,0           ,0             ,1
