0,1     ,2     ,3 ,4 ,5 ,6 ,7     ,8 ,9 ,10,11,12,13    ,14
2,19.67 ,0.375 ,24,7 ,14,17,2.0   ,23,23,2 ,23,7 ,80.0  ,0
2,51.58 ,15.0  ,24,7 ,3 ,17,8.5   ,23,23,9 ,6 ,7 ,0.0   ,0
2,28.75 ,1.5   ,27,26,3 ,17,1.5   ,23,6 ,0 ,23,7 ,0.0   ,225
2,32.25 ,14.0  ,27,26,66,66,0.0   ,6 ,23,2 ,6 ,7 ,160.0 ,1
2,33.0  ,2.5   ,27,26,15,17,7.0   ,6 ,6 ,0 ,23,7 ,280.0 ,0
2,29.83 ,1.25  ,27,26,10,17,0.25  ,6 ,6 ,0 ,6 ,7 ,224.0 ,0
2,32.92 ,2.5   ,24,7 ,11,17,1.75  ,6 ,23,2 ,23,7 ,720.0 ,0
1,58.33 ,10.0  ,24,7 ,14,17,4.0   ,23,23,14,6 ,7 ,0.0   ,1602
2,19.42 ,6.5   ,24,7 ,15,18,1.46  ,23,23,7 ,6 ,7 ,80.0  ,2954
2,16.17 ,0.04  ,24,7 ,3 ,17,0.04  ,6 ,6 ,0 ,6 ,7 ,0.0   ,0
1,26.58 ,2.54  ,27,26,66,66,0.0   ,6 ,6 ,0 ,23,7 ,180.0 ,60
2,32.83 ,2.5   ,24,7 ,33,18,2.75  ,23,23,6 ,6 ,7 ,160.0 ,2072
1,15.83 ,7.625 ,24,7 ,14,17,0.125 ,6 ,23,1 ,23,7 ,0.0   ,160
1,19.17 ,8.585 ,24,7 ,33,18,0.75  ,23,23,7 ,6 ,7 ,96.0  ,0
2,42.75 ,3.0   ,24,7 ,8 ,22,1.0   ,23,6 ,0 ,6 ,7 ,0.0   ,200
2,64.08 ,20.0  ,24,7 ,16,18,17.5  ,23,23,9 ,23,7 ,0.0   ,1000
2,37.75 ,7.0   ,24,7 ,14,18,11.5  ,23,23,7 ,23,7 ,300.0 ,5
2,28.25 ,5.04  ,27,26,3 ,22,1.5   ,23,23,8 ,23,7 ,144.0 ,7
1,24.92 ,1.25  ,24,7 ,66,66,0.0   ,23,6 ,0 ,6 ,7 ,80.0  ,0
2,27.75 ,0.585 ,27,26,33,17,0.25  ,23,23,2 ,6 ,7 ,260.0 ,500
2,76.75 ,22.29 ,24,7 ,5 ,20,12.75 ,23,23,1 ,23,7 ,0.0   ,109
1,35.17 ,3.75  ,24,7 ,66,66,0.0   ,6 ,23,6 ,6 ,7 ,0.0   ,200
2,29.58 ,4.5   ,24,7 ,15,17,7.5   ,23,23,2 ,23,7 ,330.0 ,0
2,17.08 ,0.25  ,24,7 ,14,17,0.335 ,6 ,23,4 ,6 ,7 ,160.0 ,8
1,28.58 ,1.665 ,24,7 ,14,17,2.415 ,23,6 ,0 ,23,7 ,440.0 ,0
1,22.67 ,0.75  ,24,7 ,3 ,17,2.0   ,6 ,23,2 ,23,7 ,200.0 ,394
2,19.33 ,10.915,24,7 ,3 ,22,0.585 ,6 ,23,2 ,23,7 ,200.0 ,7
2,25.58 ,0.335 ,24,7 ,10,18,3.5   ,6 ,6 ,0 ,23,7 ,340.0 ,0
2,28.25 ,5.125 ,24,7 ,16,17,4.75  ,23,23,2 ,6 ,7 ,420.0 ,7
1,17.67 ,0.0   ,27,26,9 ,66,0.0   ,6 ,6 ,0 ,6 ,7 ,86.0  ,0
2,41.5  ,1.54  ,24,7 ,8 ,22,3.5   ,6 ,6 ,0 ,6 ,7 ,216.0 ,0
1,57.08 ,0.335 ,24,7 ,8 ,22,1.0   ,23,6 ,0 ,23,7 ,252.0 ,2197
2,27.67 ,2.0   ,24,7 ,16,18,1.0   ,23,23,4 ,6 ,7 ,140.0 ,7544
1,55.75 ,7.08  ,24,7 ,10,18,6.75  ,23,23,3 ,23,7 ,100.0 ,50
2,23.5  ,2.75  ,24,7 ,66,66,4.5   ,6 ,6 ,0 ,6 ,7 ,160.0 ,25
2,38.67 ,0.21  ,24,7 ,10,17,0.085 ,23,6 ,0 ,23,7 ,280.0 ,0
2,48.75 ,26.335,27,26,66,66,0.0   ,23,6 ,0 ,23,7 ,0.0   ,0
2,37.5  ,1.75  ,27,26,3 ,22,0.25  ,23,6 ,0 ,23,7 ,164.0 ,400
1,35.75 ,0.915 ,24,7 ,11,17,0.75  ,23,23,4 ,6 ,7 ,0.0   ,1583
1,23.25 ,5.875 ,24,7 ,14,17,3.17  ,23,23,10,6 ,7 ,120.0 ,245
2,20.67 ,0.415 ,24,7 ,3 ,17,0.125 ,6 ,6 ,0 ,6 ,7 ,0.0   ,44
2,34.17 ,9.17  ,24,7 ,3 ,17,4.5   ,23,23,12,23,7 ,0.0   ,221
2,42.75 ,4.085 ,24,7 ,11,17,0.04  ,6 ,6 ,0 ,6 ,7 ,108.0 ,100
1,23.5  ,9.0   ,24,7 ,14,17,8.5   ,23,23,5 ,23,7 ,120.0 ,0
2,40.92 ,0.5   ,27,26,12,17,0.5   ,6 ,6 ,0 ,23,7 ,130.0 ,0
2,38.17 ,10.125,24,7 ,16,17,2.5   ,23,23,6 ,6 ,7 ,520.0 ,196
2,29.42 ,1.25  ,24,7 ,3 ,18,0.25  ,6 ,23,2 ,23,7 ,400.0 ,108
1,68.67 ,15.0  ,24,7 ,5 ,20,0.0   ,23,23,14,6 ,7 ,0.0   ,3376
2,28.25 ,0.875 ,24,7 ,12,17,0.96  ,23,23,3 ,23,7 ,396.0 ,0
2,37.5  ,1.125 ,27,26,4 ,17,1.5   ,6 ,6 ,0 ,23,7 ,431.0 ,0
1,18.83 ,4.415 ,27,26,3 ,18,3.0   ,23,6 ,0 ,6 ,7 ,240.0 ,0
1,41.0  ,2.04  ,27,26,14,18,0.125 ,23,23,23,23,7 ,455.0 ,1236
2,20.42 ,7.5   ,24,7 ,10,17,1.5   ,23,23,1 ,6 ,7 ,160.0 ,234
2,35.17 ,4.5   ,24,7 ,16,18,5.75  ,6 ,6 ,0 ,23,25,711.0 ,0
2,27.83 ,1.5   ,24,7 ,15,17,2.0   ,23,23,11,23,7 ,434.0 ,35
2,21.58 ,0.79  ,27,26,33,17,0.665 ,6 ,6 ,0 ,6 ,7 ,160.0 ,0
2,26.92 ,2.25  ,24,7 ,8 ,22,0.5   ,6 ,6 ,0 ,23,7 ,640.0 ,4000
2,37.58 ,0.0   ,24,7 ,14,19,0.0   ,6 ,6 ,0 ,6 ,26,240.0 ,0
2,44.25 ,0.5   ,24,7 ,12,17,10.75 ,23,6 ,0 ,6 ,25,400.0 ,0
2,18.42 ,10.415,27,26,11,17,0.125 ,23,6 ,0 ,6 ,7 ,120.0 ,375
2,18.08 ,5.5   ,24,7 ,10,17,0.5   ,23,6 ,0 ,6 ,7 ,80.0  ,0
2,28.67 ,9.335 ,24,7 ,14,18,5.665 ,23,23,6 ,6 ,7 ,381.0 ,168
2,23.25 ,1.5   ,24,7 ,14,17,2.375 ,23,23,3 ,23,7 ,0.0   ,582
2,40.08 ,0.04  ,27,26,4 ,17,4.25  ,6 ,6 ,0 ,23,7 ,460.0 ,0
2,20.17 ,8.17  ,24,7 ,11,17,1.96  ,23,23,14,6 ,7 ,60.0  ,158
2,41.33 ,0.0   ,24,7 ,3 ,22,15.0  ,23,6 ,0 ,6 ,7 ,0.0   ,0
2,23.58 ,1.79  ,24,7 ,3 ,17,0.54  ,6 ,6 ,0 ,23,7 ,136.0 ,1
2,20.42 ,0.0   ,27,26,8 ,17,0.0   ,6 ,6 ,0 ,6 ,26,205.5 ,0
1,32.33 ,0.54  ,24,7 ,33,17,0.04  ,23,6 ,0 ,6 ,7 ,440.0 ,11177
2,29.92 ,1.835 ,24,7 ,3 ,18,4.335 ,23,6 ,0 ,6 ,7 ,260.0 ,200
2,28.17 ,0.125 ,27,26,10,17,0.085 ,6 ,6 ,0 ,6 ,7 ,216.0 ,2100
2,23.33 ,11.625,27,26,15,17,0.835 ,23,6 ,0 ,23,7 ,160.0 ,300
2,31.08 ,1.5   ,27,26,15,17,0.04  ,6 ,6 ,0 ,6 ,25,160.0 ,0
